"AC" "TC" "DESCR" "OS" "GN" "PE" "SV"
"6765" "P81598" "8.B.16.1.4" "Omega-hexatoxin-Hv1e" "Hadronyche versuta" "" "1" "1"
"6766" "P81605" "1.C.108.1.1" "Dermcidin" "Homo sapiens" "DCD" "1" "2"
"6767" "P81610" "1.C.47.1.6" "Defensin-A" "Mytilus edulis" "" "1" "1"
"6768" "P81662" "1.C.38.1.2" "Sticholysin I (Cytolysin St I) (Cytotoxin) - Stoichactis helianthus (Carribean sea anemone) (Stichodactyla helianthus)." "" "" "" ""
"6769" "P81694" "8.B.19.2.2" "Omega-ctenitoxin-Cs1a" "Cupiennius salei" "" "1" "2"
"6770" "P81792" "8.B.12.1.2" "Omega-ctenitoxin-Pn4a" "Phoneutria nigriventer" "" "1" "2"
"6771" "P81861" "1.A.66.1.1" "Pardaxin P-4" "Pardachirus marmoratus" "" "1" "1"
"6772" "P81891" "2.A.7.22.2" "Probable 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE" "Salmonella typhi" "arnE" "3" "2"
"6773" "P81897" "8.B.14.1.3" "Potassium channel toxin kappa-actitoxin-Aeq1a" "Actinia equina" "" "1" "1"
"6774" "P81909" "1.A.69.1.1" "Odorant receptor 22a - Drosophila melanogaster (Fruit fly)." "" "" "" ""
"6775" "P81910" "1.A.69.1.1" "Odorant receptor 22b - Drosophila melanogaster (Fruit fly)." "" "" "" ""
"6776" "P81918" "1.A.69.1.1" "Odorant receptor 43b - Drosophila melanogaster (Fruit fly)." "" "" "" ""
"6777" "P81919" "1.A.69.1.1" "Odorant receptor 46a, isoform A - Drosophila melanogaster (Fruit fly)." "" "" "" ""
"6778" "P81935" "1.C.4.7.1" "P42 component of the binary toxin (Fragment)" "Lysinibacillus sphaericus" "bin A" "4" "1"
"6779" "P81995" "8.B.9.1.4" "Cysteine-rich venom protein tripurin (Fragment)" "Cryptelytrops purpureomaculatus" "" "1" "1"
"6780" "P82066" "1.C.76.1.1" "Maculatin-1.1 [Contains: Maculatin-1.1.1] - Litoria genimaculata (Green-eyed tree frog)." "" "" "" ""
"6781" "P82251" "2.A.3.8.19" "B(0,+)-type amino acid transporter 1" "Homo sapiens" "SLC7A9" "1" "1"
"6782" "P82252" "2.A.3.8.15" "B(0,+)-type amino acid transporter 1 - Rattus norvegicus (Rat)." "" "" "" ""
"6783" "P82270" "1.C.19.1.6" "Rhesus theta defensin-1/3, subunit A - Macaca mulatta (Rhesus macaque)." "" "" "" ""
"6784" "P82543" "3.D.4.2.1" "Cytochrome c oxidase polypeptide 2A" "Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579)" "cbaD" "1" "2"
"6785" "P82818" "1.C.114.1.1" "Moricin-1" "Bombyx mori" "MOR1" "1" "1"
"6786" "P82850" "8.B.2.1.1" "Potassium channel toxin kappa-KTx 1.1 - Heterometrus fulvipes (Indian black scorpion)." "" "" "" ""
"6787" "P83002" "1.C.24.1.14" "Bacteriocin lactococcin MMFII" "Lactococcus lactis subsp. lactis" "" "1" "1"
"6788" "P83248" "1.C.68.1.1" "Oxyopinin 2a (Oxki2a) - Oxyopes kitabensis (Wolf spider)." "" "" "" ""
"6789" "P83250" "1.C.68.1.2" "M-oxotoxin-Ot2c" "Oxyopes takobius" "" "1" "1"
"6790" "P83301" "8.B.4.1.1" "Conotoxin - Conus ventricosus (Mediterranean cone)." "" "" "" ""
"6791" "P83303" "8.B.3.1.3" "Huwentoxin-4 - Ornithoctonus huwena (Chinese bird spider) (Selenocosmia huwena)." "" "" "" ""
"6792" "P83346" "1.C.74.1.5" "Bucain" "Bungarus candidus" "" "1" "1"
"6793" "P83351" "1.F.1.1.3" "Soluble NSF attachment protein 29" "Caenorhabditis elegans" "snap-29" "3" "1"
"6794" "P83387" "1.A.64.4.1" "Putative uncharacterized protein" "Caenorhabditis elegans" "F47B3.3" "4" "1"
"6795" "P83390" "8.B.22.1.3" "Conotoxin" "Conus amadis" "" "1" "1"
"6796" "P83455" "1.C.52.1.8" "Tryptophyllin-1" "Pachymedusa dacnicolor" "" "1" "2"
"6797" "P83467" "1.C.97.1.3" "Ostreolysin (Fragment)" "Pleurotus ostreatus" "" "1" "1"
"6798" "P83471" "8.B.3.1.2" "Hainantoxin-4 - Selenocosmia hainana (Chinese bird spider)." "" "" "" ""
"6799" "P83476" "8.B.5.2.1" "Protoxin-2 - Thrixopelma pruriens (Green velvet)." "" "" "" ""
"6800" "P83480" "8.B.5.1.1" "Protoxin-1 - Thrixopelma pruriens (Green velvet)." "" "" "" ""
"6801" "P83545" "1.C.88.1.1" "Chrysophsin-1 - Pagrus major (Red sea bream) (Chrysophrys major)." "" "" "" ""
"6802" "P83546" "1.C.88.1.2" "Chrysophsin-2 - Pagrus major (Red sea bream) (Chrysophrys major)." "" "" "" ""
"6803" "P83547" "1.C.88.1.3" "Chrysophsin-3 - Pagrus major (Red sea bream) (Chrysophrys major)." "" "" "" ""
"6804" "P83560" "8.B.6.2.2" "Delta-hexatoxin-Mg1a" "Macrothele gigas" "" "1" "2"
"6805" "P83698" "1.A.2.2.1" "Putative inward rectifier potassium channel protein - Burkholderia pseudomallei (Pseudomonas pseudomallei)." "" "" "" ""
"6806" "P83962" "1.C.46.2.2" "Ventricular natriuretic peptide" "Acipenser transmontanus" "vnp" "2" "1"
"6807" "P84510" "8.B.3.1.4" "Beta-theraphotoxin-Ps1a" "Paraphysa scrofa" "" "1" "1"
"6808" "P84572" "1.C.52.1.12" "Phylloseptin-7" "Phyllomedusa hypochondrialis" "psn7" "1" "2"
"6809" "P84596" "1.C.52.1.20" "Dermaseptin-1 (Fragment)" "Phyllomedusa hypochondrialis" "" "1" "1"
"6810" "P84763" "1.C.94.1.1" "Bacteriocin thuricin-S (Fragment)" "Bacillus thuringiensis subsp. entomocidus" "" "1" "1"
"6811" "P84777" "8.B.8.1.1" "Potassium channel toxin alpha-KTx 15.6 - Tityus discrepans (Venezuelan scorpion)." "" "" "" ""
"6812" "P84919" "8.B.11.1.4" "Neurotoxin BcIV" "Bunodosoma caissarum" "" "1" "1"
"6813" "P84962" "1.C.24.1.13" "Bacteriocin divergicin M35 - Carnobacterium divergens (Lactobacillus divergens)." "" "" "" ""
"6814" "P85066" "8.B.7.1.1" "Toxin GaTx1 - Leiurus quinquestriatus hebraeus (Yellow scorpion)." "" "" "" ""
"6815" "P85079" "8.B.19.2.4" "Neurotoxin omega-Lsp-IA - Geolycosa sp. (strain A267TDLS2-KZARNA) (Wolf spider) (Lycosa kazakhstanicus)." "" "" "" ""
"6816" "P85269" "8.B.6.1.4" "U10-ctenitoxin-Co1a (Fragment)" "Ctenus ornatus" "" "1" "1"
"6817" "P86037" "1.C.52.1.13" "Raniseptin-1" "Hypsiboas raniceps" "" "1" "1"
"6818" "P86093" "1.C.52.1.17" "Ranakinin-N" "Rana nigrovittata" "" "1" "1"
"6819" "P86094" "8.B.23.1.4" "Short neurotoxin MS11" "Micrurus surinamensis" "" "1" "1"
"6820" "P86193" "1.C.85.2.2" "Crotamine-IV-2" "Crotalus durissus cumanensis" "" "1" "1"
"6821" "P86436" "8.B.7.1.2" "Chlorotoxin-like peptide" "Androctonus australis" "" "1" "1"
"6822" "P87108" "3.A.8.1.1" "Mitochondrial import inner membrane translocase subunit TIM10 (Mitochondrial intermembrane protein MRS11) - Saccharomyces cerevisiae (Baker's yeast)." "" "" "" ""
"6823" "P87284" "9.B.12.1.2" "9.B.12.1.2 Plasma membrane proteolipid 3" "" "" "" ""
"6824" "P89946" "1.G.4.1.3" "Structural polyprotein" "Barmah forest virus" "" "3" "2"
"6825" "P90670" "1.A.1.10.2" "Sodium channel alpha-subunit SCAP1 - Aplysia californica (California sea hare)." "" "" "" ""
"6826" "P91102" "1.A.6.1.4" "Putative uncharacterized protein" "Caenorhabditis elegans" "C24G7.2" "2" "2"
"6827" "P91193" "8.A.38.1.2" "Protein MACO-1" "Caenorhabditis elegans" "maco-1" "2" "4"
"6828" "P91303" "3.A.2.2.7" "Probable V-type proton ATPase subunit G" "Caenorhabditis elegans" "vha-10" "3" "1"
"6829" "P91679" "2.A.17.4.2" "OLIGOPEPTIDE TRANSPORTER 1 (YIN PROTEIN) - Drosophila melanogaster (Fruit fly)." "" "" "" ""
"6830" "P91730" "1.A.9.4.3" "Glutamate-gated chloride channel subunit beta" "Haemonchus contortus" "" "2" "1"
"6831" "P91927" "2.A.97.1.3" "LETM1 and EF-hand domain-containing protein anon-60Da, mitochondrial" "Drosophila melanogaster" "anon-60Da" "2" "2"
"6832" "P92934" "2.A.18.2.4" "Amino acid permease 6 - Arabidopsis thaliana (Mouse-ear cress)." "" "" "" ""
"6833" "P92939" "3.A.3.2.13" "Calcium-transporting ATPase 1, endoplasmic reticulum-type - Arabidopsis thaliana (Mouse-ear cress)." "" "" "" ""
"6834" "P92960" "1.A.1.4.9" "Potassium channel KAT3 - Arabidopsis thaliana (Mouse-ear cress)." "" "" "" ""
"6835" "P92961" "2.A.18.3.1" "PROLINE TRANSPORTER 1 - Arabidopsis thaliana (Mouse-ear cress)." "" "" "" ""
"6836" "P93280" "3.A.1.107.2" "Putative cytochrome c biogenesis ccmB-like mitochondrial protein - Arabidopsis thaliana (Mouse-ear cress)." "" "" "" ""
"6837" "P93286" "9.B.14.1.6" "Putative cytochrome c biogenesis ccmF-like mitochondrial protein" "Arabidopsis thaliana" "CCMFC" "1" "2"
"6838" "P93306" "3.D.1.6.3" "NADH-ubiquinone oxidoreductase 49 kDa subunit - Arabidopsis thaliana (Mouse-ear cress)." "" "" "" ""
"6839" "P93332" "2.A.123.1.1" "Bidirectional sugar transporter N3" "Medicago truncatula" "N3" "2" "1"
"6840" "P93642" "2.A.7.9.3" "PHOSPHATE/PHOSPHOENOLPYRUVATE TRANSLOCATOR PRECURSOR - Zea mays (Maize)." "" "" "" ""
"6841" "P94117" "3.D.4.9.1" "Heme bearing subunit I of the terminal oxidase - Acidianus ambivalens (Desulfurolobus ambivalens)." "" "" "" ""
"6842" "P94118" "3.D.4.9.1" "Hypothetical protein doxC - Acidianus ambivalens (Desulfurolobus ambivalens)." "" "" "" ""
"6843" "P94119" "3.D.4.9.1" "Hypothetical protein doxE - Acidianus ambivalens (Desulfurolobus ambivalens)." "" "" "" ""
"6844" "P94120" "3.D.4.9.1" "Hypothetical protein doxF - Acidianus ambivalens (Desulfurolobus ambivalens)." "" "" "" ""
"6845" "P94131" "2.A.1.15.4" "Cis,cis-muconate transport protein - Acinetobacter calcoaceticus." "" "" "" ""
"6846" "P94357" "2.A.115.1.2" "UPF0750 membrane protein YxkD" "Bacillus subtilis (strain 168)" "yxkD" "3" "1"
"6847" "P94360" "3.A.1.1.26" "Probable multiple sugar-binding transport ATP-binding protein msmX - Bacillus subtilis." "" "" "" ""
"6848" "P94360" "3.A.1.1.34" "Probable multiple sugar-binding transport ATP-binding protein msmX - Bacillus subtilis." "" "" "" ""
"6849" "P94363" "2.A.24.2.4" "HOMOLOGOUS TO CITRATE-SODIUM SYMPORT - Bacillus subtilis." "" "" "" ""
"6850" "P94369" "2.A.39.1.5" "Putative purine-cytosine permease yxlA" "Bacillus subtilis (strain 168)" "yxlA" "3" "1"
"6851" "P94398" "9.B.10.1.1" "UPF0343 protein yciA" "Bacillus subtilis" "yciA" "2" "1"
"6852" "P94400" "9.B.10.1.1" "Putative metal chaperone yciC" "Bacillus subtilis" "yciC" "2" "1"
"6853" "P94488" "2.A.2.3.2" "Hypothetical symporter IN GLNA-XYNB intergenic region - Bacillus subtilis." "" "" "" ""
"6854" "P94528" "3.A.1.1.34" "Probable arabinose-binding protein" "Bacillus subtilis" "araN" "2" "2"
"6855" "P94529" "3.A.1.1.34" "L-arabinose transport system permease protein AraP" "Bacillus subtilis" "araP" "2" "1"
"6856" "P94530" "3.A.1.1.34" "L-arabinose transport system permease protein AraQ" "Bacillus subtilis" "araQ" "2" "2"
"6857" "P94571" "9.B.105.1.3" "Undecaprenyl-diphosphatase BcrC" "Bacillus subtilis (strain 168)" "bcrC" "1" "1"
"6858" "P94574" "2.A.1.3.57" "Uncharacterized MFS-type transporter ywoD" "Bacillus subtilis (strain 168)" "ywoD" "3" "1"
"6859" "P94575" "2.A.39.3.4" "Hypothetical 54.0 kDa protein IN NRGA-USD intergenic region - Bacillus subtilis." "" "" "" ""
"6860" "P94585" "1.A.22.1.3" "Large-conductance mechanosensitive channel - Bacillus subtilis." "" "" "" ""
"6861" "P94633" "2.A.75.1.1" "LYSINE EXPORTER PROTEIN - Corynebacterium glutamicum (Brevibacterium flavum)." "" "" "" ""
"6862" "P94774" "2.A.1.14.41" "ExuT" "Dickeya chrysanthemi" "exuT" "4" "1"
"6863" "P95302" "3.A.1.7.4" "Phosphate import ATP-binding protein PstB 2" "Mycobacterium tuberculosis" "pstB2" "3" "2"
"6864" "P95467" "1.B.7.1.2" "PORIN PRECURSOR - Paracoccus denitrificans." "" "" "" ""
"6865" "P95494" "1.B.14.10.1" "TONB-DEPENDENT RECEPTOR HMUR - Porphyromonas gingivalis (Bacteroides gingivalis). " "" "" "" ""
"6866" "P95827" "2.A.1.21.1" "MACROLIDE-EFFLUX PROTEIN (MACROLIDE-EFFLUX PROTEIN A) - Streptococcus pyogenes, and Streptococcus pneumoniae." "" "" "" ""
"6867" "P95852" "2.A.1.46.8" "Orf c06004 protein" "Sulfolobus solfataricus" "orf c06004" "4" "1"
"6868" "P95908" "2.A.1.1.15" "SUGAR TRANSPORTER (SUGAR TRANSPORT RELATED PROTEIN) - Sulfolobus solfataricus." "" "" "" ""
"6869" "P96062" "3.A.1.11.5" "PHNS - Salmonella typhimurium." "" "" "" ""
"6870" "P96063" "3.A.1.11.5" "PHNT - Salmonella typhimurium." "" "" "" ""
"6871" "P96064" "3.A.1.11.5" "PHNU - Salmonella typhimurium." "" "" "" ""
"6872" "P96065" "3.A.1.11.5" "PHNV - Salmonella typhimurium." "" "" "" ""
"6873" "P96116" "3.A.1.15.8" "Periplasmic zinc-binding protein troA (TROMP-1) - Treponema pallidum." "" "" "" ""
"6874" "P96117" "3.A.1.15.8" "Zinc transport system ATP-binding protein troB - Treponema pallidum." "" "" "" ""
"6875" "P96118" "3.A.1.15.8" "Zinc transport system membrane protein troC - Treponema pallidum." "" "" "" ""
"6876" "P96119" "3.A.1.15.8" "Zinc transport system membrane protein troD - Treponema pallidum." "" "" "" ""
"6877" "P96169" "2.A.21.3.2" "Sodium/glucose cotransporter (Na(+)/glucose symporter) - Vibrio parahaemolyticus. " "" "" "" ""
"6878" "P96454" "2.A.52.1.2" "COBALT TRANSPORTER - Rhodococcus rhodochrous." "" "" "" ""
"6879" "P96483" "3.A.1.1.23" "MsiK protein - Streptomyces reticuli." "" "" "" ""
"6880" "P96517" "2.A.1.5.4" "MelY - Enterobacter cloacae." "" "" "" ""
"6881" "P96593" "2.A.55.3.3" "Manganese transport protein MntH" "Bacillus subtilis (strain 168)" "mntH" "1" "1"
"6882" "P96603" "2.A.23.1.6" "C4-dicarboxylate transport protein" "Bacillus subtilis" "dctA" "2" "1"
"6883" "P96661" "2.A.7.3.31" "Uncharacterized transporter ydeD" "Bacillus subtilis (strain 168)" "ydeD" "3" "1"
"6884" "P96668" "2.A.7.3.24" "Uncharacterized transporter ydeK" "Bacillus subtilis (strain 168)" "ydeK" "3" "1"
"6885" "P96680" "2.A.7.3.32" "Uncharacterized transporter ydfC" "Bacillus subtilis (strain 168)" "ydfC" "3" "1"
"6886" "P96704" "2.A.3.1.16" "Uncharacterized transporter YdgF" "Bacillus subtilis (strain 168)" "ydgF" "3" "1"
"6887" "P96710" "2.A.1.1.55" "Arabinose-proton symporter - Bacillus subtilis." "" "" "" ""
"6888" "P96712" "2.A.1.3.50" "Multidrug resistance protein 3" "Bacillus subtilis (strain 168)" "bmr3" "1" "1"
"6889" "P96787" "3.E.1.1.4" "Archaerhodopsin-3" "Halorubrum sodomense" "aop3" "3" "1"
"6890" "P96792" "2.A.2.3.3" "PUTATIVE XYLOSE-PROTON SYMPORTER (XYLOSE TRANSPORTER) - Lactobacillus pentosus." "" "" "" ""
"6891" "P96796" "3.D.7.1.1" "HETERODISULFIDE REDUCTASE - Methanosarcina barkeri." "" "" "" ""
"6892" "P96797" "3.D.7.1.1" "HETERODISULFIDE REDUCTASE - Methanosarcina barkeri." "" "" "" ""
"6893" "P96878" "2.A.53.3.12" "PROBABLE TRANSMEMBRANE CARBONIC ANHYDRASE (CARBONATE DEHYDRATASE) (CARBONIC DEHYDRATASE)" "Mycobacterium tuberculosis" "MT3373" "4" "2"
"6894" "P96948" "1.B.14.2.3" "HEMOGLOBIN-HAPTOGLOBIN UTILIZATION PROTEIN A - Neisseria meningitidis." "" "" "" ""
"6895" "P96949" "1.B.14.2.3" "Hemoglobin-haptoglobin utilization protein B precursor - Neisseria meningitidis (serogroup C)." "" "" "" ""
"6896" "P97039" "2.A.1.23.2" "Putative bile salt transporter - Lactobacillus johnsonii." "" "" "" ""
"6897" "P97046" "3.A.1.117.1" "MULTIDRUG RESISTANCE PROTEIN LMRA - Lactococcus lactis." "" "" "" ""
"6898" "P97054" "3.D.6.1.1" "Electron transport complex subunit RnfG" "Rhodobacter capsulatus" "rnfG" "1" "1"
"6899" "P97055" "3.D.6.1.1" "Electron transport complex subunit RnfE" "Rhodobacter capsulatus" "rnfE" "1" "1"
"6900" "P97207" "3.D.4.9.1" "Terminal oxidase subunit - Acidianus ambivalens (Desulfurolobus ambivalens)." "" "" "" ""
"6901" "P97224" "3.D.4.9.1" "Terminal oxidase subunit II - Acidianus ambivalens (Desulfurolobus ambivalens)." "" "" "" ""
"6902" "P97227" "3.A.7.12.1" "CAG pathogenicity island protein 13 - Helicobacter pylori (Campylobacter pylori)." "" "" "" ""
"6903" "P97245" "3.A.7.12.1" "CAG pathogenicity island protein 12 - Helicobacter pylori (Campylobacter pylori)." "" "" "" ""
"6904" "P97260" "2.A.6.6.4" "SREBP CLEAVAGE ACTIVATING PROTEIN - Cricetulus griseus (Chinese hamster)." "" "" "" ""
"6905" "P97352" "9.A.48.1.1" "Protein S100-A13 - Mus musculus (Mouse)." "" "" "" ""
"6906" "P97414" "1.A.1.15.1" "Voltage-gated potassium channel protein KQT-like 1 (KvLQT1) (Kv1.9) - Mus musculus (Mouse)." "" "" "" ""
"6907" "P97438" "1.A.1.9.1" "Potassium channel subfamily K member 2 - Mus musculus (Mouse)." "" "" "" ""
"6908" "P97521" "2.A.29.8.1" "MITOCHONDRIAL CARNITINE/ACYLCARNITINE CARRIER PROTEIN (CARNITINE/ACYLCARNITINE TRANSLOCASE) (CAC) - Rattus norvegicus (Rat)." "" "" "" ""
"6909" "P97557" "1.A.1.2.9" "Neuronal potassium channel - Rattus norvegicus (Rat)." "" "" "" ""
"6910" "P97840" "9.B.9.1.1" "GALECTIN-9 (36 KDA BETA-GALACTOSIDE BINDING LECTIN) (URATE TRANSPORTER/CHANNEL) (UAT) - Rattus norvegicus (Rat)." "" "" "" ""
"6911" "P98002" "3.D.4.6.1" "Cytochrome C oxidase polypeptide I-beta (EC 1.9.3.1) (Cytochrome AA3 subunit 1-beta) - Paracoccus denitrificans." "" "" "" ""
"6912" "P98004" "3.D.4.1.1" "Quinol oxidase polypeptide I (EC 1.9.3.-) (Cytochrome AA3 subunit 1) (Oxidase AA(3) subunit 1) - Sulfolobus acidocaldarius." "" "" "" ""
"6913" "P98005" "3.D.4.4.3" "Cytochrome c oxidase polypeptide I+III" "Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579)" "caaA" "1" "1"
"6914" "P98008" "3.D.4.10.2" "Nitric oxide reductase subunit B - Pseudomonas stutzeri (Pseudomonas perfectomarina)." "" "" "" ""
"6915" "P98161" "1.A.5.1.1" "POLYCYSTIN PRECURSOR (AUTOSOMAL DOMINANT POLYCYSTIC KIDNEY DISEASE PROTEIN 1) - Homo sapiens (Human)." "" "" "" ""
"6916" "P98194" "3.A.3.2.5" "Calcium-transporting ATPase type 2C, member 1 (EC 3.6.3.8) (ATPase 2C1) (ATP-dependent Ca2+ pump PMR1) (HUSSY-28) - Homo sapiens (Human)." "" "" "" ""
"6917" "P98200" "3.A.3.8.8" "Probable phospholipid-transporting ATPase IB" "Mus musculus" "Atp8a2" "1" "1"
"6918" "P98204" "3.A.3.8.7" "Phospholipid-transporting ATPase 1" "Arabidopsis thaliana" "ALA1" "1" "1"
"6919" "P98205" "3.A.3.8.9" "Putative phospholipid-transporting ATPase 2" "Arabidopsis thaliana" "ALA2" "1" "1"
"6920" "Q00319" "2.A.29.6.1" "Peroxisomal membrane protein PMP47B - Candida boidinii (Yeast)." "" "" "" ""
"6921" "Q00325" "2.A.29.4.2" "Phosphate carrier protein, mitochondrial precursor (PTP) - Homo sapiens (Human)." "" "" "" ""
"6922" "Q00496" "1.C.8.1.3" "Botulinum neurotoxin type E" "Clostridium botulinum" "" "1" "2"
"6923" "Q00500" "9.B.14.1.1" "CYTOCHROME C-TYPE BIOGENESIS PROTEIN CCL1 - Rhodobacter capsulatus (Rhodopseudomonas capsulata)." "" "" "" ""
"6924" "Q00538" "2.A.1.3.10" "Methylenomycin A resistance protein (MMR peptide) - Bacillus subtilis." "" "" "" ""
"6925" "Q00564" "3.A.1.112.3" "Lactococcin A transport ATP-binding protein lcnC - Lactococcus lactis (subsp. lactis) (Streptococcus lactis)." "" "" "" ""
"6926" "Q00595" "1.B.39.1.2" "Outer membrane protein alkL - Pseudomonas oleovorans." "" "" "" ""
"6927" "Q00620" "1.B.14.4.2" "OUTER MEMBRANE PROTEIN NOSA PRECURSOR - Pseudomonas stutzeri (Pseudomonas perfectomarina)." "" "" "" ""
"6928" "Q00749" "3.A.1.1.28" "Multiple sugar-binding protein precursor - Streptococcus mutans." "" "" "" ""
"6929" "Q00750" "3.A.1.1.28" "Multiple sugar-binding transport system permease protein msmF - Streptococcus mutans." "" "" "" ""
"6930" "Q00751" "3.A.1.1.28" "Multiple sugar-binding transport system permease protein msmG - Streptococcus mutans." "" "" "" ""
"6931" "Q00752" "3.A.1.1.28" "Multiple sugar-binding transport ATP-binding protein MSMK - Streptococcus mutans." "" "" "" ""
"6932" "Q00758" "2.A.66.2.14" "Stage V sporulation protein B" "Bacillus subtilis" "spoVB" "2" "1"
"6933" "Q00910" "2.A.60.1.2" "PROSTAGLANDIN TRANSPORTER (PGT) (MATRIN F/G) - Rattus norvegicus (Rat)." "" "" "" ""
"6934" "Q00959" "1.A.10.1.6" "1.A.10.1.6 Glutamate [NMDA] receptor subunit epsilon-1" "" "" "" ""
"6935" "Q00960" "1.A.10.1.6" "Glutamate [NMDA] receptor subunit epsilon-2 - Rattus norvegicus (Rat)." "" "" "" ""
"6936" "Q00974" "2.A.7.10.1" "UDP N-acetylglucosamine transporter (Golgi UDP-GlcNAc transporter) - Kluyveromyces lactis (Yeast)." "" "" "" ""
"6937" "Q00X06" "9.A.54.3.4" "LMBR1 integral membrane protein-like (ISS)" "Ostreococcus tauri" "Ot13g01770" "4" "1"
"6938" "Q01074" "1.A.45.1.1" "DNA transfer protein gp7 precursor - Bacteriophage P22." "" "" "" ""
"6939" "Q01076" "1.A.45.1.1" "DNA transfer protein gp20 - Bacteriophage P22." "" "" "" ""
"6940" "Q010B9" "2.A.1.82.2" "Synaptic vesicle transporter SVOP and related transporters (Major facilitator superfamily) (ISS)" "Ostreococcus tauri" "Ot10g01560" "4" "1"
"6941" "Q01146" "1.A.45.1.1" "DNA transfer protein gp16 - Bacteriophage P22." "" "" "" ""
"6942" "Q01218" "1.G.11.1.1" "Hemagglutinin" "Vaccinia virus (strain Western Reserve)" "HA" "1" "1"
"6943" "Q01244" "1.B.22.3.3" "YOP PROTEINS TRANSLOCATION PROTEIN C PRECURSOR - Yersinia enterocolitica." "" "" "" ""
"6944" "Q012G5" "1.A.52.2.1" "Chromosome 09 contig 1, DNA sequence" "Ostreococcus tauri" "Ot09g00560" "4" "1"
"6945" "Q01321" "3.D.1.6.1" "NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4 - Bos taurus (Bovine)." "" "" "" ""
"6946" "Q01356" "2.A.29.9.1" "AMINO ACID TRANSPORTER ARG-13 - Neurospora crassa." "" "" "" ""
"6947" "Q01367" "9.B.70.1.1" "Stage III sporulation protein AA - Bacillus subtilis." "" "" "" ""
"6948" "Q01368" "9.B.70.1.1" "Stage III sporulation protein AB - Bacillus subtilis." "" "" "" ""
"6949" "Q01440" "2.A.1.1.20" "Membrane transporter D1 - Leishmania donovani." "" "" "" ""
"6950" "Q01441" "2.A.1.1.16" "Membrane transporter D2 - Leishmania donovani." "" "" "" ""
"6951" "Q01465" "9.B.157.1.1" "Rod shape-determining protein MreB" "Bacillus subtilis (strain 168)" "mreB" "3" "3"
"6952" "Q01466" "9.B.157.1.1" "Cell shape-determining protein MreC" "Bacillus subtilis (strain 168)" "mreC" "1" "3"
"6953" "Q01467" "9.B.157.1.1" "Rod shape-determining protein MreD" "Bacillus subtilis (strain 168)" "mreD" "1" "1"
"6954" "Q01469" "8.A.33.1.1" "Fatty acid-binding protein, epidermal - Homo sapiens (Human)." "" "" "" ""
"6955" "Q01484" "8.A.28.1.1" "Ankyrin-2 - Homo sapiens (Human)." "" "" "" ""
"6956" "Q01501" "1.B.8.1.13" "Mitochondrial outer membrane protein porin" "Dictyostelium discoideum" "porA" "1" "1"
"6957" "Q01519" "3.D.4.8.1" "Cytochrome c oxidase subunit 6B" "Saccharomyces cerevisiae (strain ATCC 204508 / S288c)" "COX12" "1" "2"
"6958" "Q01567" "8.A.2.1.2" "OUTS PROTEIN PRECURSOR - Erwinia chrysanthemi." "" "" "" ""
"6959" "Q015E0" "1.A.7.3.1" "ATP-gated cation channel receptor P2X4 - Ostreococcus tauri." "" "" "" ""
"6960" "Q01625" "2.A.9.3.2" "Stage III sporulation protein J precursor - Bacillus subtilis." "" "" "" ""
"6961" "Q01650" "2.A.3.8.25" "Large neutral amino acids transporter small subunit 1" "Homo sapiens" "SLC7A5" "1" "2"
"6962" "Q01674" "1.B.14.1.17" "Ferrioxamine receptor" "Yersinia enterocolitica" "foxA" "3" "2"
"6963" "Q01718" "9.A.14.2.4" "Adrenocorticotropic hormone receptor" "Homo sapiens" "MC2R" "1" "1"
"6964" "Q01723" "1.B.22.3.1" "HYPERSENSITIVITY RESPONSE SECRETION PROTEIN HRPH PRECURSOR - Pseudomonas syringae (pv. syringae)." "" "" "" ""
"6965" "Q017Y3" "1.B.33.3.8" "Predicted cell surface protein homologous to bacterial outer membrane proteins (ISS)" "Ostreococcus tauri" "Ot06g00190" "4" "1"
"6966" "Q01814" "3.A.3.2.40" "Plasma membrane calcium-transporting ATPase 2" "Homo sapiens" "ATP2B2" "1" "2"
"6967" "Q01815" "1.A.1.11.6" "Voltage-dependent L-type calcium channel subunit alpha-1C - Mus musculus (Mouse)." "" "" "" ""
"6968" "Q01818" "2.A.1.2.11" "Chromaffin granule amine transporter (Vesicular amine transporter 1) (VAT1) - Rattus norvegicus (Rat)." "" "" "" ""
"6969" "Q01852" "3.A.8.1.1" "3.A.8.1.1 Mitochondrial import inner membrane translocase subunit TIM44" "" "" "" ""
"6970" "Q01857" "2.A.23.1.3" "C4-DICARBOXYLATE TRANSPORT PROTEIN - Rhizobium leguminosarum." "" "" "" ""
"6971" "Q01888" "2.A.29.12.1" "GRAVE'S DISEASE CARRIER PROTEIN (GDC) (MITOCHONDRIAL SOLUTE CARRIER PROTEIN HOMOLOG) - Bos taurus (Bovine)." "" "" "" ""
"6972" "Q01926" "1.A.35.5.1" "MITOCHONDRIAL RNA SPLICING PROTEIN MRS2 PRECURSOR - Saccharomyces cerevisiae (Baker's yeast)." "" "" "" ""
